date,oil_productivity,gas_productivity,operator_name
2012-11-01,5209.238095238095,3074.190476190476,SLAWSON EXPLORATION COMPANY INC
2012-10-01,6835.954545454545,3949.0,SLAWSON EXPLORATION COMPANY INC
2012-09-01,5022.045454545455,2911.590909090909,SLAWSON EXPLORATION COMPANY INC
2012-08-01,4325.65,2745.15,SLAWSON EXPLORATION COMPANY INC
2012-07-01,4118.5,2652.4,SLAWSON EXPLORATION COMPANY INC
2012-06-01,4906.529411764706,3862.529411764706,SLAWSON EXPLORATION COMPANY INC
2012-05-01,5078.529411764706,2908.823529411765,SLAWSON EXPLORATION COMPANY INC
2012-04-01,5002.5,1547.5,SLAWSON EXPLORATION COMPANY INC
2012-03-01,4269.076923076923,2367.4615384615386,SLAWSON EXPLORATION COMPANY INC
2012-02-01,5704.636363636364,1456.909090909091,SLAWSON EXPLORATION COMPANY INC
2012-01-01,4240.333333333333,1561.6666666666667,SLAWSON EXPLORATION COMPANY INC
2011-12-01,4518.5,2067.1,SLAWSON EXPLORATION COMPANY INC
2011-11-01,4025.4285714285716,2000.7142857142858,SLAWSON EXPLORATION COMPANY INC
2011-10-01,4220.833333333333,2423.6666666666665,SLAWSON EXPLORATION COMPANY INC
2011-09-01,5711.0,3222.0,SLAWSON EXPLORATION COMPANY INC
2011-08-01,4233.0,2745.0,SLAWSON EXPLORATION COMPANY INC
2011-07-01,2866.8,890.8,SLAWSON EXPLORATION COMPANY INC
2010-09-01,107.0,149.0,SLAWSON EXPLORATION COMPANY INC
2010-08-01,532.0,395.0,SLAWSON EXPLORATION COMPANY INC
2010-07-01,571.5,510.5,SLAWSON EXPLORATION COMPANY INC
2010-06-01,844.0,635.5,SLAWSON EXPLORATION COMPANY INC
2010-05-01,887.0,665.0,SLAWSON EXPLORATION COMPANY INC
2010-04-01,870.0,645.5,SLAWSON EXPLORATION COMPANY INC
2010-03-01,846.5,616.5,SLAWSON EXPLORATION COMPANY INC
2010-02-01,634.0,377.0,SLAWSON EXPLORATION COMPANY INC
2010-01-01,704.0,428.0,SLAWSON EXPLORATION COMPANY INC
2014-08-01,2711.3947368421054,2530.7631578947367,SLAWSON EXPLORATION COMPANY INC
2014-07-01,4085.4864864864867,2893.2702702702704,SLAWSON EXPLORATION COMPANY INC
2014-06-01,4484.054054054054,2578.2162162162163,SLAWSON EXPLORATION COMPANY INC
2014-05-01,4777.264705882353,2635.529411764706,SLAWSON EXPLORATION COMPANY INC
2014-04-01,5125.4857142857145,2874.7714285714287,SLAWSON EXPLORATION COMPANY INC
2014-03-01,4606.848484848485,2222.7272727272725,SLAWSON EXPLORATION COMPANY INC
2011-04-01,1311.0,985.0,SLAWSON EXPLORATION COMPANY INC
2010-12-01,4824.0,163.0,SLAWSON EXPLORATION COMPANY INC
