api,EUR oil,operator_name,well_name
33053039430000,365773,SLAWSON EXPLORATION COMPANY INC,MAGNUM  1-36-25H
33053039440000,165278,SLAWSON EXPLORATION COMPANY INC,MAGNUM  2-36-25H
33053039480000,529536,MARATHON OIL COMPANY,JOANNE QUALE USA   21-30H
33053039490000,522698,MARATHON OIL COMPANY,JOANNE QUALE USA   21-30TFH
33053039580000,264883,SLAWSON EXPLORATION COMPANY INC,ATLAS  #1-16-21H
33053039620000,228346,SLAWSON EXPLORATION COMPANY INC,HATCHET {FEDERAL}  1-23-14H
33053040220000,342780,ENERPLUS RESOURCES USA CORPORATION,BRADFIELD  31-14H
33053040230000,468516,ENERPLUS RESOURCES USA CORPORATION,EMERALD  148-95-03A-10H
33053040550000,596274,WPX ENERGY WILLISTON LLC,SWEET GRASS WOMAN  22-15HB
33053040690000,284534,SLAWSON EXPLORATION COMPANY INC,MAGNUM  3-36-25H
33053041050000,191161,PETRO-HUNT DAKOTA LLC,HOT ROD  1-27-26H
33053041230000,516009,WPX ENERGY WILLISTON LLC,KATE SOLDIER   23-14HZ
33053041500000,308204,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-2H
33053041510000,284441,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-4H
33053041520000,389006,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-1H
33053041530000,314135,ABRAXAS PETROLEUM CORP,JORE FEDERAL  2-11-3H
33053041850000,672921,SLAWSON EXPLORATION COMPANY INC,WOLVERINE FEDERAL  5-31-30TFH
33053041860000,570685,SLAWSON EXPLORATION COMPANY INC,WOLVERINE FEDERAL  2-31-30H
33053041940000,226485,SLAWSON EXPLORATION COMPANY INC,PHAZOR  1-1-12H
33053042000000,160169,PETRO-HUNT DAKOTA LLC,GRIZZLY  147-103-14-22-15-4H3
33053042020000,305824,ENERPLUS RESOURCES USA CORPORATION,COYOTE  151-94-33DH TF
33053042030000,472483,ENERPLUS RESOURCES USA CORPORATION,PRAIRIE DOG  150-94-04A-09H
33053042070000,224455,WPX ENERGY WILLISTON LLC,CORN STALK  20HD
33053042080000,222668,WPX ENERGY WILLISTON LLC,CORN STALK  20HC
33053042090000,306859,MUREX PETROLEUM CORPORATION,CHERYL KIM  24-13H
33053042550000,262471,MUREX PETROLEUM CORPORATION,JADE BRENNA FEDERAL  2-11H
33053042830000,422306,WPX ENERGY WILLISTON LLC,RUBY  31-30HA
33053042840000,414406,WPX ENERGY WILLISTON LLC,RUBY  31-30HW
33053042850000,671810,WPX ENERGY WILLISTON LLC,RUBY  31-30HB
33053043000000,264514,MUREX PETROLEUM CORPORATION,ROSE MARIE  3-10H
33053043060000,353701,SLAWSON EXPLORATION COMPANY INC,GABRIEL  2-36-25H
33053043110000,829492,ENERPLUS RESOURCES USA CORPORATION,HONOR  150-94-06B-18H TF
33053043120000,558272,ENERPLUS RESOURCES USA CORPORATION,GRACE  150-94-06B-07H
33053043190000,0,SLAWSON EXPLORATION COMPANY INC,GABRIEL  1-36-25H
33053043310000,308474,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H
33053043360000,760798,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-1H
33053043370000,361213,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-2H
33053043380000,427798,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-3H
33053043390000,261480,ABRAXAS PETROLEUM CORP,LILLIBRIDGE  20-17-4H
33053043420000,560390,WPX ENERGY WILLISTON LLC,PATRICIA KELLY  2-1HB
33053043970000,453518,MARATHON OIL COMPANY,DARREL QUALE USA  14-16H
33053044240000,259018,SLAWSON EXPLORATION COMPANY INC,MAUSER {FEDERAL}  1-18-17TFH
33053044290000,328037,PETRO-HUNT DAKOTA LLC,ARSENAL {FEDERAL}  1-17-20H
33053044440000,244319,PETRO-HUNT DAKOTA LLC,GRIZZLY  147-103-16-21-16-1H3
33053044900000,737652,ENERPLUS RESOURCES USA CORPORATION,BEAVER CREEK  149-94-31D-30H TF
33053044920000,0,ENERPLUS RESOURCES USA CORPORATION,ZION  148-95-02B-11H
33053045070000,397934,ENERPLUS RESOURCES USA CORPORATION,CIRRUS  149-94-33D-28H
33053045080000,441467,ENERPLUS RESOURCES USA CORPORATION,NIMBUS  149-94-33D-28H
33053045390000,440576,MUREX PETROLEUM CORPORATION,ALBERT SKARI   35-26H
33053045760000,231148,WPX ENERGY WILLISTON LLC,STEVENSON  15-8HD
33053046370000,0,SLAWSON EXPLORATION COMPANY INC,GABRIEL  6-36-25TFH
33053046380000,0,SLAWSON EXPLORATION COMPANY INC,GABRIEL  5-36-25TFH
33053046390000,0,SLAWSON EXPLORATION COMPANY INC,GABRIEL  4-36-25H
